generation,height,parentVariety,influence,chaos,mutability,range,totalInfluenceWeight,cantAttributes,totalSeeds,totalCalories,foodAmount,leftSeeds
28,90,White Potato,0.8780524021233557,0.12194759787664433,0.3368781607481093,0.44938284310964965,0,0,6,282533.9371710929,1360,711
29,90,White Potato,0.8897659879906231,0.11023401200937688,0.3368781607481093,0.41405053242258266,0,1,6,296408.7362533488,1424,743
ALTITUDE CHANGED TO 30M
generation,height,parentVariety,influence,chaos,mutability,range,totalInfluenceWeight,cantAttributes,totalSeeds,totalCalories,foodAmount,leftSeeds
0,90,White Potato,0.8841040956757891,0.11589590432421093,0.3368781607481093,1.3754405053363299,0.5,1,1,296985.9807847669,1427,744
1,30,Dark Potato,0.905229886476123,0.09477011352387699,0.5091025757303475,1.0641680422112632,0,1,6,300416.4316623763,1445,750
2,30,Dark Potato,0.916648776438135,0.08335122356186497,0.5091025757303475,0.22324834702258267,0,1,7,324499.47335595783,1574,793
3,30,Dark Potato,0.895919853225696,0.104080146774304,0.5091025757303475,0.037835440586320324,0,1,7,352805.1710066129,1727,844
4,30,Dark Potato,0.8794171494933565,0.12058285050664352,0.5091025757303475,0.00665470607758267,0,1,7,378245.29812416155,1868,891
5,30,Dark Potato,0.9096483966453135,0.0903516033546865,0.5091025757303475,0.0010933625554193185,0,1,8,408293.0815202434,2030,945
6,30,Dark Potato,0.8897387679488943,0.11026123205110572,0.5091025757303475,0.00014610302328090625,0,1,7,436768.46011550794,2186,997
7,30,Dark Potato,0.8977933752089341,0.1022066247910659,0.5091025757303475,2.4656663610282085e-05,0,1,7,464470.65671029995,2336,1047
8,30,Dark Potato,0.880207758641955,0.119792241358045,0.5091025757303475,4.3290648001872205e-06,0,1,7,491231.2393366906,2486,1097
9,30,Dark Potato,0.8778385762826826,0.12216142371731742,0.5091025757303475,7.641200957712855e-07,0,1,7,516661.1222610318,2627,1144
10,30,Dark Potato,0.9086712409139885,0.09132875908601146,0.5091025757303475,1.2582242224038151e-07,0,1,6,543993.5069206307,2774,1193
11,30,Dark Potato,0.9168323045072005,0.08316769549279945,0.5091025757303475,2.638645063986962e-08,0,1,7,569819.8546659871,2915,1240
12,30,Dark Potato,0.8960790537867994,0.10392094621320058,0.5091025757303475,4.470288968299176e-09,0,1,7,596332.7896591814,3059,1288
13,30,Dark Potato,0.9226102396407988,0.0773897603592012,0.5091025757303475,7.131702022125153e-10,0,1,5,623824.5320054481,3209,1338
14,30,Dark Potato,0.9322475642165737,0.06775243578342627,0.5091025757303475,1.892320876057035e-10,0,1,8,645059.6881856503,3323,1376
15,30,Dark Potato,0.9239056183843994,0.07609438161560056,0.5091025757303475,2.3147926875898872e-11,0,1,7,678230.8997727282,3500,1435
16,30,Dark Potato,0.9158494005362728,0.08415059946372716,0.5091025757303475,3.750085748637562e-12,0,1,6,705553.4215436459,3653,1486
17,30,Dark Potato,0.9177612697351736,0.08223873026482642,0.5091025757303475,7.850166901097191e-13,0,1,6,729236.2096937577,3782,1529
18,30,Dark Potato,0.8880437471408862,0.11195625285911381,0.5091025757303475,1.7406836146511322e-13,0,1,8,753064.9656481147,3911,1572
19,30,Dark Potato,0.8863828989618902,0.11361710103810985,0.5091025757303475,2.3461811528163247e-14,0,1,6,780422.0301300074,4061,1622
20,30,Dark Potato,0.8800687419388703,0.1199312580611297,0.5091025757303475,5.282892156673525e-15,0,1,5,802493.4210438002,4187,1664
21,30,Dark Potato,0.9074281061269542,0.09257189387304576,0.5091025757303475,1.4593881364480567e-15,0,1,5,820252.2096999061,4283,1696
22,30,Dark Potato,0.8919475659658573,0.10805243403414266,0.5091025757303475,4.133448579957495e-16,0,1,5,838358.4231276793,4382,1729
23,30,Dark Potato,0.9063228686323922,0.0936771313676078,0.5091025757303475,1.1438985717887777e-16,0,1,8,857123.3641106505,4484,1763
24,30,Dark Potato,0.8844711611903087,0.11552883880969134,0.5091025757303475,1.5493937233455218e-17,0,1,7,886695.0481361706,4643,1816
25,30,Dark Potato,0.9054473574855373,0.09455264251446271,0.5091025757303475,2.5699636354462984e-18,0,1,6,912360.0629076592,4781,1862
26,30,Dark Potato,0.9088177860170035,0.09118221398299653,0.5091025757303475,5.47412443857181e-19,0,1,6,935745.658302251,4907,1904
27,30,Dark Potato,0.892683976229147,0.10731602377085303,0.5091025757303475,1.2030045372373656e-19,0,1,6,960050.3299020407,5039,1948
28,30,Dark Potato,0.9054966290721715,0.09450337092782846,0.5091025757303475,2.5790103085819768e-20,0,1,7,984233.0376298265,5168,1991
29,30,Dark Potato,0.9161843625025659,0.08381563749743415,0.5091025757303475,4.174956772423529e-21,0,1,8,1011831.6430322917,5318,2041
RANDOM ALTITUDES
